не	2450232
хотеть	384799
мочь	356458
ещё	346544
день	330977
хороший	318361
только	300403
нет	277007
новый	268610
скачать	268534
сегодня	263869
который	257262
просто	257257
любить	253050
большой	252080
самый	231157
смотреть	214941
очень	211311
наш	209070
знать	200654
спасибо	199703
жизнь	199484
класс	182345
надо	177033
делать	169054
время	166204
теперь	166085
друг	165755
россия	161257
сказать	158033
дом	157446
без	153575
даже	152195
идти	145602
почему	143823
чтобы	143172
можно	142618
сделать	141509
стать	141271
игра	139367
думать	139229
завтра	134575
твой	133582
новость	130739
вообще	128680
спать	128298
москва	126868
говорить	125369
утро	124632
фильм	124177
всегда	122969
купить	119620
ничто	117707
метр	116678
хорошо	115354
дело	113878
украина	112442
видео	111816
писать	109506
каждый	105532
мама	105204
фото	104956
школа	104923
ждать	104826
мир	104002
ночь	102344
бесплатно	101905
сидеть	100558
после	100174
сам	99965
пойти	99742
другой	99068
работа	98678
под	98328
посмотреть	97507
добрый	97261
найти	96964
онлайн	96883
русский	96545
любовь	96197
девушка	95203
потом	92691
слово	92601
любимый	90653
видеть	90572
давать	90314
смочь	89934
книга	89776
жить	89571
телефон	88992
нужно	88707
понять	86282
далее	86000
кофе	84785
ребёнок	84252
новое	83135
никогда	83122
много	83084
литр	83066
написать	83027
пока	82343
дать	81951
читать	81834
никто	81751
привет	81516
женщина	79985
всего	79161
последний	78428
через	78183
должный	77848
рука	76350
потому	75365
понимать	74968
урок	73264
вопрос	73006
настроение	72205
нравиться	71187
зелёный	71173
начать	70941
имя	70207
три	70203
играть	70108
город	69662
нибыть	69244
место	69126
хотеться	68881
нужный	68296
при	68039
получить	67443
блять	66975
золотой	66287
лента	65985
ваш	65713
сон	65491
блин	65348
остаться	65210
бог	65112
опять	64599
бля	63980
помощь	63295
час	62638
история	62372
твит	62261
глаз	61967
еда	61067
деньга	61049
понравиться	60420
массаж	60314
неделя	60265
инструкция	60177
новогодний	60172
собрать	59786
хоть	59564
парень	59469
кома	59019
музыка	58934
мужчина	58565
сколько	58448
программа	58383
язык	57894
ответ	57546
скоро	57537
работать	56994
нормальный	56970
счастие	56393
хотя	56392
взять	56316
главный	56044
тогда	56022
правда	55791
забыть	55627
серия	55612
конечно	55096
путин	55068
подарок	54215
хд	54094
интернет	53459
выйти	53453
зачем	53282
тем	53045
ведь	53044
вечер	52619
улица	52522
вчера	51694
декабрь	51664
надеяться	51367
др	51273
минута	51253
монета	51048
ненавидеть	50752
решить	50609
нг	50609
слушать	50278
пройти	50252
красивый	50151
конец	49768
опубликовать	49355
тема	49335
счастливый	49221
пора	49132
искать	49090
значит	48815
страна	48583
кажется	48552
рубль	48434
сайт	48392
пара	48277
российский	48184
девочка	48085
кредит	47972
цена	47822
ходить	47629
болеть	47384
плата	47344
равно	47325
песня	46797
снова	46794
маленький	46783
момент	46757
сша	46492
число	46480
домой	45983
стоить	45848
группа	45424
совсем	45296
куда	45039
увидеть	44919
милый	44896
область	44489
прийти	44408
верить	44346
интересный	44194
плохо	44132
рождение	44110
андроид	43583
чувство	43574
лицо	43339
праздник	43300
снег	43240
уйти	43151
сердце	43096
пиздец	42964
более	42952
бывать	42891
помнить	42543
норма	42519
проблема	42455
ранний	42406
иметь	42374
сук	42290
бояться	42275
ладный	42053
пить	41774
голова	41658
январь	41635
че	41633
магазин	41559
точно	41448
пусть	41361
перед	41351
круто	41132
готовый	41045
днём	40482
наконец	40482
чувствовать	40450
часть	40299
мысль	40015
почти	39974
киев	39674
давно	39584
лишь	39562
ряд	39560
месяц	39372
сразу	39315
вроде	39189
помочь	39149
олимпиада	38986
ой	38845
машина	38839
тело	38768
интересно	38749
считать	38734
вк	38623
здесь	38580
таки	38566
начинать	38547
бесить	38386
квартира	38361
узнать	38281
карта	38257
полный	38186
фотография	38116
папа	38067
скучать	38010
сезон	37952
дорогой	37912
тысяча	37814
учебник	37811
половина	37604
нога	37456
прекрасный	37450
английский	37325
слишком	37253
ибо	37244
часы	37221
ёлка	36866
вместе	36754
нельзя	36728
её	36652
проститутка	36248
сериал	36058
отличный	36012
лола	35990
закон	35826
иногда	35791
важный	35519
уж	35506
